FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area
4197,10002023,CASS COUNTY JAIL / SHERIFF,303 MINNESOTA AVENUE WEST,WALKER,MN,56484,-999,(218) 547-2441,COUNTY,OPEN,25,CASS,27021,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.cass.mn.us/services/law_enforcement_and_corrections/detention_center.php,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.co.cass.mn.us/services/law_enforcement_and_corrections/divisions.php,NOT AVAILABLE,60,0.00394629634482,{3CA07077-BFDE-4464-958F-F5481678DE0C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,503.553340014308,3.44724377727e-07
4198,10002071,MINNESOTA RIVER VALLEY JUVENILE DETENTION CENTER,510 NORTH FRONT STREET,NEW ULM,MN,56073,-999,NOT AVAILABLE,LOCAL,CLOSED,0,BROWN,27015,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.mankatofreepress.com/news/local_news/juvenile-detention-center-to-close/article_c1e30b27-e991-5dc7-ac61-73f1b4ca3610.html,2018/05/23 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,NOT AVAILABLE,JUVENILE,-999,0.00336282777565,{5D0AA7CB-0E46-4D6C-BCC8-1A9914934132},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,426.205234085797,6.22138429135e-07
4199,10002083,ELMORE ACADEMY,202 EAST NORTH STREET,ELMORE,MN,56027,-999,NOT AVAILABLE,NOT AVAILABLE,CLOSED,0,FARIBAULT,27043,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.startribune.com/lawsuit-elmore-minn-youth-correctional-facility-failed-to-protect-teen-who-was-badly-beaten/468867183/,2014/01/10 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,NOT AVAILABLE,JUVENILE,125,0.00359152802253,{F5EABC2B-A10C-43DE-BBD5-E55B8C77E9BC},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,453.359443795062,7.30463549652e-07
4200,10002007,KOOCHICHING COUNTY JAIL,715 4TH STREET,INTERNATIONAL FALLS,MN,56649,-999,(218) 283-4416,COUNTY,OPEN,20,KOOCHICHING,27071,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.koochiching.mn.us/183/Jail,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.co.koochiching.mn.us/179/Law-Enforcement-Center,NOT AVAILABLE,30,0.00286743294439,{3EB1153F-A525-4BD1-A120-35CFA8611C9F},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,358.691444665101,2.38069432437e-07
4201,10004512,WESTERN PRE-RELEASE CENTER,101 BILLY BOULEVARD,BUTLER,GA,31006,-999,(770) 567-0531,NOT AVAILABLE,NOT AVAILABLE,-999,TAYLOR,13269,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dcor.state.ga.us/facility-finder,2020/06/06 00:00:00+00,IMAGERY/OTHER,2019/11/05 00:00:00+00,http://www.dcor.state.ga.us/facility-finder,MEDIUM,194,0.00749967315936,{13685001-ADCA-48A7-8D71-167064F1E0CA},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,884.025936797015,3.04256604744e-06
4202,10002041,ISANTI COUNTY JAIL,509 18TH AVENUE SOUTHWEST,CAMBRIDGE,MN,55008,-999,(763) 689-2397,COUNTY,OPEN,62,ISANTI,27059,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.isanti.mn.us/420/Jail,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.co.isanti.mn.us/isanti/departments/sheriffs-office,MAXIMUM,112,0.00537880056895,{AEBA1E9D-82BB-4F0C-AB4F-5EBCAD637E0B},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,673.721633329929,5.70266932212e-07
4203,10002038,MILLE LACS COUNTY JAIL,640 3RD STREET SOUTHEAST,MILACA,MN,56353,-999,(320) 983-8450,COUNTY,OPEN,107,MILLE LACS,27095,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.mille-lacs.mn.us/2416/County-Jail,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.co.mille-lacs.mn.us/sheriffsoffice,NOT AVAILABLE,156,0.003732513093,{423E49A0-BB88-4D20-879C-7949E3B2D067},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,476.188452749467,5.42630660766e-07
4204,10002055,VOLUNTEERS OF AMERICA: CORRECTIONAL CENTER FOR WOMEN,1771 KENT STREET,ROSEVILLE,MN,55113,-999,(952) 945-4000,LOCAL,OPEN,-999,RAMSEY,27123,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.voamnwi.org/residential-reentry,2018/05/18 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00350090480728,{CC1E4D40-BC3B-4BCC-92AF-891D3F5E8D0D},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,436.292765692555,6.41825262669e-07
4205,10003022,VALLEY-LAKE BOY'S HOME INCORPORATED,3850 200TH AVENUE,BRECKENRIDGE,MN,56520,-999,(218) 643-4036,LOCAL,OPEN,10,WILKIN,27167,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.valleylakeboyshome.org/index.php,2018/05/23 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.valleylakeboyshome.org/index.php,JUVENILE,14,0.00887607125766,{BDC521D6-6AA1-4858-B09A-F53E37F2E8CD},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1167.89249207454,4.74005763715e-06
4206,10003016,ARROWHEAD JUVENILE CENTER,1918 ARLINGTON AVENUE N,DULUTH,MN,55811,-999,(218) 625-6700,COUNTY,OPEN,-999,ST. LOUIS,27137,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.arrowheadregionalcorrections.org/,2018/03/23 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.arrowheadregionalcorrections.org/,JUVENILE,48,0.00416506444341,{FEC004BE-FD12-46E4-B7B5-B8C3C062B81B},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,595.596852844276,6.14145737523e-07
4207,10003018,BETHEL WORK RELEASE CENTER,23 MESABA AVENUE,DULUTH,MN,55806,-999,(218) 727-3828,LOCAL,OPEN,-999,ST. LOUIS,27137,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.duluthbethel.org/services/,2018/05/18 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.duluthbethel.org/,MINIMUM,60,0.00202541159776,{03E96AE0-E397-473C-BEE0-02F479D6AE1F},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,277.172098199834,2.49271554167e-07
4208,10005139,MILLE LACS ACADEMY,407 130TH AVENUE SOUTH,ONAMIA,MN,56359,-999,(320) 532-4005,LOCAL,OPEN,-999,MILLE LACS,27095,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.nexus-yfs.org/sites/millelacs/index,2016/02/15 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://www.nexus-yfs.org/sites/millelacs/index,JUVENILE,105,0.0076216347978,{94B1B954-7B17-4B5A-909E-424807D359AF},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,998.039438681616,7.71357271227e-07
4209,10000263,FCI WASECA,1000 UNIVERSITY DRIVE SOUTHWEST,WASECA,MN,56093,-999,(507) 835-8972,FEDERAL,OPEN,653,WASECA,27161,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/was/,2016/02/16 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://www.bop.gov/locations/,MINIMUM,712,0.0165971622883,{0A530FA4-23F5-4644-A509-B617F40C33C2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2210.43762299089,1.61999626936e-05
4210,10001326,ANOKA COUNTY ADULT MEDIUM SECURITY CORR CTR,7545 4TH AVE,LINO LAKES,MN,55014,-999,(763) 323-5070,COUNTY,CLOSED,0,ANOKA,27003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.presspubs.com/quad/news/anoka-county-corrections-facility-to-close/article_033f55c4-28f3-52e1-b255-4433b7c31f23.html,2009/09/01 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,NOT AVAILABLE,MEDIUM,-999,0.00462346516904,{0CBEF565-E2C4-4098-B525-7B8631AA7A66},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,588.707496642889,1.12742614689e-06
4211,10006274,BROWN COUNTY JAIL,55 E STATE RD 46,NASHVILLE,IN,47448,-999,(812) 988-6655,COUNTY,OPEN,-999,BROWN,18013,USA,922140,CORRECTIONAL INSTITUTIONS,http://browncounty-in.gov/Departments/SheriffsDepartment.aspx,2018/03/05 00:00:00+00,IMAGERY/OTHER,2019/12/11 00:00:00+00,http://browncountyinsheriff.net/,NOT AVAILABLE,-999,0.00233884431157,{198DB8B6-ED34-4F2B-B24E-CC2EF67BF706},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,296.042677843558,2.59405019275e-07
4212,10006383,DUVALL CENTER,1848 LUDLOW AVENUE,INDIANAPOLIS,IN,46201,-999,(317) 327-2500,STATE,OPEN,13,MARION,18097,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.indy.gov/activity/the-duvall-residential-center,2017/10/01 00:00:00+00,IMAGERY/OTHER,2019/12/11 00:00:00+00,http://www.indy.gov/eGov/County/Corrections/Services/Residential/Pages/duvall-res-facility.aspx,MINIMUM,350,0.00352745512378,{09B6CD09-0B8E-40B0-83D2-CDF0818D1882},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,431.986400519396,5.00703042531e-07
4213,10005607,JASPER COUNTY COMMUNITY CORRECTIONS,2420 WEST CLARK STREET,RENSSELAER,IN,47978,-999,(219) 866-2750,COUNTY,OPEN,-999,JASPER,18073,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.jaspercountyin.gov/egov/apps/staff/directory.egov?path=pro&usr=30,2018/03/05 00:00:00+00,IMAGERY/OTHER,2019/12/11 00:00:00+00,http://www.jaspercountyin.gov/department/index.php?structureid=17,NOT AVAILABLE,-999,0.00130589674684,{153AAF71-91BB-4F4F-8020-C942125FD578},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,153.40969481406,6.03824119582e-08
4214,10001337,FMC ROCHESTER,2110 E CENTER ST,ROCHESTER,MN,55904,-999,(507) 287-0674,FEDERAL,OPEN,639,OLMSTED,27109,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/rch/,2016/02/16 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://www.bop.gov/locations/,MAXIMUM,784,0.0156010855158,{AFC30553-E537-4A30-ABA7-4EF5E37B0169},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1973.9330914341,1.56561889819e-05
4215,10001315,ST LOUIS COUNTY JAIL,4334 HAINES ROAD,DULUTH,MN,55811,-999,(218) 726-2345,COUNTY,OPEN,161,ST. LOUIS,27137,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.stlouisjailroster.org/,2018/03/23 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.stlouiscountymn.gov/LAW-PUBLIC-SAFETY,MAXIMUM,197,0.0048119109688,{19AF14C6-21A8-4FC4-B24B-6F4D7C36550B},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,661.654927194478,6.7689669456e-07
4216,10001325,MCF - LINO LAKES,7525 4TH AVENUE,LINO LAKES,MN,55014,-999,(651) 717-6100,STATE,OPEN,1287,ANOKA,27003,USA,922140,CORRECTIONAL INSTITUTIONS,https://mn.gov/doc/facilities/lino-lakes/,2016/07/01 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://mn.gov/doc/facilities/,MEDIUM,1324,0.0197375550022,{958B25DC-9E66-422C-AE5E-0E19BA492667},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2574.81287278079,2.2641645994e-05
4217,10001331,MCF - OAK PARK HEIGHTS,5329 OSGOOD AVENUE NORTH,STILLWATER,MN,55082,1117,(651) 779-1400,STATE,OPEN,396,WASHINGTON,27163,USA,922140,CORRECTIONAL INSTITUTIONS,https://mn.gov/doc/facilities/oak-park-heights/,2016/07/01 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://mn.gov/doc/facilities/,MAXIMUM,444,0.0194098554035,{79F21526-91F7-46BE-A72E-2B771CD3273E},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2584.34660097116,2.43305228358e-05
4218,10001322,MCF - RUSH CITY,7600 525TH STREET,RUSH CITY,MN,55069,-999,(320) 358-0400,STATE,OPEN,990,CHISAGO,27025,USA,922140,CORRECTIONAL INSTITUTIONS,https://mn.gov/doc/facilities/rush-city/,2016/07/01 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://mn.gov/doc/facilities/,CLOSE,1018,0.0199713695911,{64B17101-E0EF-4CF1-BD39-BBF60023DA10},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2545.83012956436,1.71234313427e-05
4219,10001333,MCF - SHAKOPEE,1010 WEST 6TH AVENUE,SHAKOPEE,MN,55379,-999,(952) 496-4440,STATE,OPEN,625,SCOTT,27139,USA,922140,CORRECTIONAL INSTITUTIONS,https://mn.gov/doc/facilities/shakopee/,2016/07/01 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://mn.gov/doc/facilities/,MAXIMUM,650,0.015186638493,{365B36B2-A6B6-4289-986D-D88DA6524BFE},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1960.37080130306,1.27614244311e-05
4220,10006211,MCF - WILLOW RIVER,86032 COUNTY HIGHWAY 61,WILLOW RIVER,MN,55795,-999,(218) 372-3101,STATE,OPEN,141,PINE,27017,USA,922140,CORRECTIONAL INSTITUTIONS,https://mn.gov/doc/facilities/willow-river-moose-lake/willow-river.jsp,2016/07/01 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://mn.gov/doc/facilities/,MINIMUM,177,0.00994160167661,{903EF108-6968-49A8-9FF1-4997A864233C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1333.32627816039,6.12428150207e-06
4221,10007020,MINNESOTA SEX OFFENDER PROGRAM - MOOSE LAKE,1111 HIGHWAY 73,MOOSE LAKE,MN,55767,-999,(218) 565-6000,STATE,OPEN,-999,CARLTON,27017,USA,922140,CORRECTIONAL INSTITUTIONS,https://mn.gov/dhs/people-we-serve/adults/services/sex-offender-treatment/,2017/12/07 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://mn.gov/dhs/people-we-serve/adults/services/sex-offender-treatment/,NOT AVAILABLE,550,0.0163865461151,{CFCDF5EA-CE74-490A-9C7A-62006C6149C2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2165.35627337617,1.43679710697e-05
4222,10001319,MCF - MOOSE LAKE,1000 LAKE SHORE DRIVE,MOOSE LAKE,MN,55767,-999,(218) 485-5000,STATE,OPEN,1037,CARLTON,27017,USA,922140,CORRECTIONAL INSTITUTIONS,https://mn.gov/doc/facilities/willow-river-moose-lake/,2017/12/07 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://mn.gov/doc/facilities/,MEDIUM,1053,0.0200332805666,{0E75296D-00E0-4BC6-8B2E-DCE0EC5976C0},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2517.54184352175,1.69733836528e-05
4223,10002020,ITASKIN JUVENILE CENTER - SECURE UNIT,1880 RIVER ROAD,GRAND RAPIDS,MN,55744,-999,(218) 327-3000,STATE,OPEN,-999,ITASCA,27061,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.northhomes.org/locations/grand-rapids,2017/12/07 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.northhomesinc.org/index,JUVENILE,12,0.0027784624618,{BEAC011D-3C4D-4709-A08B-3ED7ACCBFE04},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,368.526683260929,3.07275857584e-07
4224,10001328,PRAIRIE CORRECTIONAL FACILITY,445 SOUTH MUNSTERMAN STREET,APPLETON,MN,56208,-999,NOT AVAILABLE,STATE,CLOSED,0,SWIFT,27151,USA,922140,CORRECTIONAL INSTITUTIONS,http://correctionalnews.com/2017/04/12/shuttered-minnesota-prison-reopen/,2017/04/12 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.cca.com/facilities/prairie-correctional-facility,MEDIUM,1600,0.0215510604711,{65FCCC03-CFCE-471F-8592-4F78E21086A5},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2720.77579048424,1.39971053145e-05
4225,10006549,MINNESOTA SECURITY HOSPITAL,100 FREEMAN DRIVE,ST. PETER,MN,56082,1599,(507) 985-2000,STATE,OPEN,369,NICOLLET,27103,USA,922140,CORRECTIONAL INSTITUTIONS,https://mn.gov/admin/government/ocdr/projects/msh/,2017/04/08 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=id_000261,NOT AVAILABLE,-999,0.00957226099185,{5A0C1BB1-DE23-43A5-9073-B966ECD49C94},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1237.65578953659,4.04245960511e-06
4226,10002010,NORTHWESTERN MINNESOTA JUVENILE CENTER,1231 5TH STREET NORTHWEST,BEMIDJI,MN,56601,-999,(218) 751-3196,LOCAL,OPEN,58,BELTRAMI,27007,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.nmjconline.org/index.php,2020/01/02 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.nmjconline.org/index.php,JUVENILE,65,0.00428330361735,{10F84863-72DE-415A-8137-FB0D62D85A30},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,588.552599531914,9.58085707517e-07
4227,10002029,AITKIN COUNTY JAIL / SHERIFF,217 2ND STREET NORTHWEST,AITKIN,MN,56431,-999,(218) 927-7456,COUNTY,OPEN,73,AITKIN,27001,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.aitkin.mn.us/departments/public-safety/jail.html,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.co.aitkin.mn.us/departments/public-safety/public-safety.html,NOT AVAILABLE,89,0.00425179997862,{CD1581DC-A600-46A9-86D4-3BA1270998A2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,542.846543957813,5.0197491538e-07
4228,10001327,ANOKA COUNTY WORKHOUSE,3300 4TH AVENUE NORTH,ANOKA,MN,55303,-999,(763) 324-4860,COUNTY,OPEN,127,ANOKA,27003,USA,922140,CORRECTIONAL INSTITUTIONS,"https://mn.gov/doc/data-publications/performance-report/, https://www.anokacounty.us/1204/Adult-Services",2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://www.anokacounty.us/569/Workhouse---Work-Release,MINIMUM,240,0.00267798462845,{4A8A427C-84C3-4186-A3DA-6CC57F750BFF},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,343.802927147705,1.86890956057e-07
4229,10002044,EAST CENTRAL REGIONAL JUVENILE CENTER,7565 4TH AVENUE,LINO LAKES,MN,55014,-999,(763) 324-4990,COUNTY,OPEN,-999,ANOKA,27003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.anokacounty.us/1243/Juvenile-Services,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.anokacounty.us/1243/Juvenile-Services,JUVENILE,36,0.00190918944166,{3316AF59-B994-4777-A081-0101A9E42A39},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,265.654757201171,1.71015672995e-07
4230,10006801,ANOKA COUNTY NON-SECURE PROGRAM,7555 4TH AVENUE,LINO LAKES,MN,55014,-999,(763) 324-4970,COUNTY,OPEN,-999,ANOKA,27003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.anokacounty.us/571/Anoka-County-Non-Secure-Program,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.anokacounty.us/1243/Juvenile-Services,JUVENILE,25,0.00462865916335,{24935FB7-50FA-4EFA-9207-1C5C181C1712},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,621.209181572527,6.31325201408e-07
4231,10006800,ANOKA COUNTY SECURE PROGRAM,7545 4TH AVENUE,LINO LAKES,MN,55014,-999,(763) 324-4980,COUNTY,OPEN,-999,ANOKA,27003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.anokacounty.us/1341/Anoka-County-Secure-Program,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.anokacounty.us/1243/Juvenile-Services,JUVENILE,50,0.00320581261451,{189500AC-79F5-488F-A1C1-B1273F04C544},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,396.443656245469,4.50174998982e-07
4232,10002009,BELTRAMI COUNTY JAIL,626 MINNESOTA AVENUE NORTHWEST,BEMIDJI,MN,56601,-999,(218) 333-4189,COUNTY,OPEN,124,BELTRAMI,27007,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.beltrami.mn.us/Departments/Law%20enforcement/Sheriff.html,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.co.beltrami.mn.us/Departments/Law%20enforcement/Jail.html,MINIMUM,140,0.00316235897748,{FF45F320-3D00-48A8-B25A-E880BBF14EE8},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,399.792886080359,3.34932003006e-07
4233,10003812,BLUE EARTH COUNTY JAIL,401 CARVER ROAD,MANKATO,MN,56001,-999,(507) 304-4800,COUNTY,OPEN,106,BLUE EARTH,27013,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.blueearthcountymn.gov/Directory.aspx?did=16,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.blueearthcountymn.gov/1349/Sheriffs-Office,NOT AVAILABLE,146,0.00749417240161,{DE6D1E9F-8AA6-4CBE-BDC4-A05973BB350F},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,963.649063360061,1.25793769894e-06
4234,10002032,CARLTON COUNTY JAIL,317 WALNUT AVENUE,CARLTON,MN,55718,-999,(218) 384-4560,COUNTY,OPEN,36,CARLTON,27017,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.carlton.mn.us/274/Jail-Roster,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,http://www.co.carlton.mn.us/261/Sheriffs-Office,MINIMUM,48,0.00208982697622,{AD2AEC32-525C-4463-A564-09DE8EC70927},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,286.157268517061,2.24060407342e-07
4235,10002062,CARVER COUNTY JAIL,606 EAST 4TH STREET,CHASKA,MN,55318,2102,(952) 361-1278,COUNTY,OPEN,56,CARVER,27019,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.carver.mn.us/departments/county-sheriff/jail-services/daily-inmate-roster,2018/03/22 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://www.co.carver.mn.us/departments/county-sheriff,NOT AVAILABLE,115,0.00421271711168,{AEEFF679-C707-4AE5-958E-C437C774D5EA},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,550.653139873972,5.31620729898e-07
4236,10001062,PENDLETON JUVENILE CORRECTIONAL FACILITY,9310 S STATE RD 67,PENDLETON,IN,46064,-999,(765) 778-3778,STATE,OPEN,188,MADISON,18095,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.in.gov/idoc/dys/2346.htm,2014/05/01 00:00:00+00,IMAGERY/OTHER,2019/12/11 00:00:00+00,http://www.in.gov/idoc/dys/2334.htm,MAXIMUM,391,0.0119272962032,{09C17A2D-3D74-4CFB-A65E-22EA43035DB8},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1525.13683318509,9.49762105782e-06
4237,10001073,MADISON CORRECTIONAL FACILITY,800 MSH BUS STOP DR,MADISON,IN,47250,-999,(812) 265-6154,STATE,OPEN,550,JEFFERSON,18077,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.in.gov/idoc/2389.htm,2017/10/01 00:00:00+00,IMAGERY/OTHER,2019/12/11 00:00:00+00,http://www.in.gov/idoc/2332.htm,MINIMUM,662,0.0215365690938,{3149765A-2D7A-44A4-99F0-0817D8E6CB80},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2667.95131320453,1.98287758621e-05
4238,10001069,INDIANAPOLIS RE-ENTRY EDUCATIONAL FACILITY,401 NORTH RANDOLPH STREET,PLAINFIELD,IN,46201,-999,(317) 639-2671,STATE,CLOSED,0,MARION,18063,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.in.gov/idoc/2404.htm,2017/07/25 00:00:00+00,IMAGERY/OTHER,2019/12/11 00:00:00+00,http://www.in.gov/idoc/2404.htm,MINIMUM,420,0.0100244144458,{900BC67D-CB8D-4CCB-A0B1-4BE009363099},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1314.08338010424,5.57841353718e-06
